frame,track_id,vehicle_type,violation_type,center_x,center_y
frame_0023.jpg,12,motorcycle,Wrong Lane,539.9124450683594,575.3751525878906
frame_0024.jpg,12,motorcycle,Wrong Lane,539.4313354492188,574.4666595458984
frame_0025.jpg,12,motorcycle,Wrong Lane,538.3899536132812,575.6173248291016
frame_0026.jpg,12,motorcycle,Wrong Lane,538.3506164550781,578.7590026855469
frame_0028.jpg,30,motorcycle,Wrong Lane,537.2174530029297,584.3523712158203
frame_0029.jpg,30,motorcycle,Wrong Lane,536.0301055908203,585.3136901855469
frame_0030.jpg,30,motorcycle,Wrong Lane,536.0881958007812,594.3952331542969
frame_0031.jpg,30,motorcycle,Wrong Lane,537.6752777099609,596.4864807128906
frame_0032.jpg,30,motorcycle,Wrong Lane,537.7292022705078,595.053466796875
frame_0033.jpg,30,motorcycle,Wrong Lane,540.5487976074219,593.6717834472656
frame_0034.jpg,30,motorcycle,Wrong Lane,538.9346313476562,595.0120544433594
frame_0035.jpg,30,motorcycle,Wrong Lane,542.5324096679688,593.2790222167969
frame_0038.jpg,48,motorcycle,Wrong Lane,542.5924377441406,593.0932769775391
frame_0039.jpg,48,motorcycle,Wrong Lane,543.6078186035156,595.1800842285156
frame_0040.jpg,48,motorcycle,Wrong Lane,541.2856750488281,595.6296081542969
frame_0042.jpg,53,motorcycle,Wrong Lane,438.29750061035156,355.2267150878906
frame_0045.jpg,59,motorcycle,Wrong Lane,540.2791748046875,603.2647094726562
frame_0046.jpg,45,motorcycle,Wrong Lane,421.2810516357422,385.65013122558594
frame_0046.jpg,59,motorcycle,Wrong Lane,539.0247039794922,603.7841491699219
frame_0047.jpg,59,motorcycle,Wrong Lane,541.8892974853516,605.2970275878906
frame_0047.jpg,45,motorcycle,Wrong Lane,440.8976287841797,390.7378234863281
frame_0048.jpg,59,motorcycle,Wrong Lane,542.0327453613281,605.8004302978516
frame_0049.jpg,59,motorcycle,Wrong Lane,541.4852142333984,605.7413024902344
frame_0050.jpg,59,motorcycle,Wrong Lane,542.0690002441406,604.6247863769531
frame_0051.jpg,59,motorcycle,Wrong Lane,540.392822265625,604.1015930175781
frame_0052.jpg,59,motorcycle,Wrong Lane,540.8625640869141,604.9754943847656
frame_0053.jpg,59,motorcycle,Wrong Lane,538.8303985595703,604.4636383056641
frame_0056.jpg,72,motorcycle,Wrong Lane,533.1871643066406,607.1448059082031
